"Search Statistics","Search Statistics"
"From","From"
"To","To"
"Apply","Apply"
"Data may be delayed up to 48 hours due to GA4 processing.","Data may be delayed up to 48 hours due to GA4 processing."
"Top Search Terms","Top Search Terms"
"View all","View all"
"Search Term","Search Term"
"Count","Count"
"No data available.","No data available."
"Top Zero-Result Searches","Top Zero-Result Searches"
"Zero-Result Searches","Zero-Result Searches"
"Back to Statistics Dashboard","Back to Statistics Dashboard"
"Store","Store"
"Locale","Locale"
"Min. occurrences","Min. occurrences"
"Search Terms","Search Terms"
"All Search Terms","All Search Terms"
"Custom range","Custom range"
"All stores","All stores"
"All locales","All locales"
"Last Occurred","Last Occurred"
"Measurement ID is required when GA4 tracking is enabled.","Measurement ID is required when GA4 tracking is enabled."
"Service account credentials must be a valid JSON object.","Service account credentials must be a valid JSON object."
"Property ID is required when service account credentials JSON is set.","Property ID is required when service account credentials JSON is set."
"Service account credentials JSON is required when Property ID is set.","Service account credentials JSON is required when Property ID is set."
